Sending Rate;Sending Rate;Throughtput;Throughtput;
0;1.0;0;1.0;
0.2;1.0;0.2;1.0;
0.4;1.0;0.4;1.0;
0.6;1.0;0.6;1.0;
0.8;1.0;0.8;1.0;
1.0;1.0;1.0;1.0;
1.2;1.0;1.2;1.0;
1.4;1.0;1.4;1.0;
1.6;1.0;1.6;1.0;
1.8;1.0;1.8;1.0;
2.0;1.0;2.0;1.0;
2.2;1.0;2.2;1.0;
2.4;1.0;2.4;1.0;
2.6;1.0;2.6;1.0;
2.8;1.0;2.8;1.0;
3.0;1.0;3.0;1.0;
3.2;1.0;3.2;1.0;
3.4;1.0;3.4;1.0;
3.6;1.0;3.6;1.0;
3.8;1.0;3.8;1.0;
4.0;1.0;4.0;1.0;
4.2;1.0;4.2;1.0;
4.4;1.0;4.4;1.0;
4.6;1.0;4.6;1.0;
4.8;1.0;4.8;1.0;
5.0;1.0;5.0;1.0;
5.2;1.0;5.2;1.0;
5.4;1.0;5.4;1.0;
5.6;1.0;5.6;1.0;
5.8;1.0;5.8;1.0;
6.0;1.0;6.0;1.0;
6.2;1.0;6.2;1.0;
6.4;1.0;6.4;1.0;
6.6;1.0;6.6;1.0;
6.8;1.0;6.8;1.0;
7.0;1.0;7.0;1.0;
7.2;1.0;7.2;1.0;
7.4;1.0;7.4;1.0;
7.6;1.0;7.6;1.0;
7.8;1.0;7.8;1.0;
8.0;1.0;8.0;1.0;
8.2;1.0;8.2;1.0;
8.4;1.0;8.4;1.0;
8.6;1.0;8.6;1.0;
8.8;1.0;8.8;1.0;
9.0;1.0;9.0;1.0;
9.2;1.0;9.2;1.0;
9.4;1.0;9.4;1.0;
9.6;1.0;9.6;1.0;
9.8;1.0;9.8;1.0;
10.0;1.0;10.0;1.0;
10.2;1.0;10.2;1.0;
10.4;1.0;10.4;1.0;
10.6;1.0;10.6;1.0;
10.8;1.0;10.8;1.0;
11.0;1.0;11.0;1.0;
11.2;1.0;11.2;1.0;
11.4;1.0;11.4;1.0;
11.6;1.0;11.6;1.0;
11.8;1.0;11.8;1.0;
12.0;1.0;12.0;1.0;
12.2;1.0;12.2;1.0;
12.4;1.0;12.4;1.0;
12.6;1.0;12.6;1.0;
12.8;1.0;12.8;1.0;
13.0;1.0;13.0;1.0;
13.2;1.0;13.2;1.0;
13.4;1.0;13.4;1.0;
13.6;1.0;13.6;1.0;
13.8;1.0;13.8;1.0;
14.0;1.0;14.0;1.0;
14.2;1.0;14.2;1.0;
14.4;1.0;14.4;1.0;
14.6;1.0;14.6;1.0;
14.8;1.0;14.8;1.0;
15.0;1.0;15.0;1.0;
15.2;1.0;15.2;1.0;
15.4;1.0;15.4;1.0;
15.6;1.0;15.6;1.0;
15.8;1.0;15.8;1.0;
16.0;1.0;16.0;1.0;
16.2;1.0;16.2;1.0;
16.4;1.0;16.4;1.0;
16.6;1.0;16.6;1.0;
16.8;1.0;16.8;1.0;
17.0;1.0;17.0;1.0;
17.2;1.0;17.2;1.0;
17.4;1.0;17.4;1.0;
17.6;1.0;17.6;1.0;
17.8;1.0;17.8;1.0;
18.0;1.0;18.0;1.0;
18.2;1.0;18.2;1.0;
18.4;1.0;18.4;1.0;
18.6;1.0;18.6;1.0;
18.8;1.0;18.8;1.0;
19.0;1.0;19.0;1.0;
19.2;1.0;19.2;1.0;
19.4;1.0;19.4;1.0;
19.6;1.0;19.6;1.0;
19.8;1.0;19.8;1.0;
20.0;1.0;20.0;1.0;
20.2;1.0;20.2;1.0;
20.4;1.0;20.4;1.0;
20.6;1.0;20.6;1.0;
20.8;1.0;20.8;1.0;
21.0;1.0;21.0;1.0;
21.2;1.0;21.2;1.0;
21.4;1.0;21.4;1.0;
21.6;1.0;21.6;1.0;
21.8;1.0;21.8;1.0;
22.0;1.0;22.0;1.0;
22.2;1.0;22.2;1.0;
22.4;1.0;22.4;1.0;
22.6;1.0;22.6;1.0;
22.8;1.0;22.8;1.0;
23.0;1.0;23.0;1.0;
23.2;1.0;23.2;1.0;
23.4;1.0;23.4;1.0;
23.6;1.0;23.6;1.0;
23.8;1.0;23.8;1.0;
24.0;1.0;24.0;1.0;
24.2;1.0;24.2;1.0;
24.4;1.0;24.4;1.0;
24.6;1.0;24.6;1.0;
24.8;1.0;24.8;1.0;
25.0;1.0;25.0;1.0;
25.2;1.0;25.2;1.0;
